Deployment,datetime,day,month,year,DPH,DPD,POD
6,23/05/2022,23,5,2022,0,0,C
6,24/05/2022,24,5,2022,1,1,C
6,25/05/2022,25,5,2022,2,1,C
6,26/05/2022,26,5,2022,1,1,C
6,27/05/2022,27,5,2022,6,1,C
6,28/05/2022,28,5,2022,1,1,C
6,29/05/2022,29,5,2022,2,1,C
6,30/05/2022,30,5,2022,2,1,C
6,31/05/2022,31,5,2022,4,1,C
6,01/06/2022,1,6,2022,3,1,C
6,02/06/2022,2,6,2022,1,1,C
6,03/06/2022,3,6,2022,0,0,C
6,04/06/2022,4,6,2022,2,1,C
6,05/06/2022,5,6,2022,2,1,C
6,06/06/2022,6,6,2022,2,1,C
6,07/06/2022,7,6,2022,1,1,C
6,08/06/2022,8,6,2022,3,1,C
6,09/06/2022,9,6,2022,1,1,C
6,10/06/2022,10,6,2022,0,0,C
6,11/06/2022,11,6,2022,1,1,C
6,12/06/2022,12,6,2022,0,0,C
6,13/06/2022,13,6,2022,0,0,C
6,14/06/2022,14,6,2022,2,1,C
6,15/06/2022,15,6,2022,6,1,C
6,16/06/2022,16,6,2022,3,1,C
6,17/06/2022,17,6,2022,3,1,C
6,18/06/2022,18,6,2022,1,1,C
6,19/06/2022,19,6,2022,2,1,C
6,20/06/2022,20,6,2022,3,1,C
6,21/06/2022,21,6,2022,2,1,C
6,22/06/2022,22,6,2022,1,1,C
6,23/06/2022,23,6,2022,1,1,C
6,24/06/2022,24,6,2022,3,1,C
6,25/06/2022,25,6,2022,2,1,C
6,26/06/2022,26,6,2022,2,1,C
6,27/06/2022,27,6,2022,4,1,C
6,28/06/2022,28,6,2022,8,1,C
6,29/06/2022,29,6,2022,4,1,C
6,30/06/2022,30,6,2022,3,1,C
6,01/07/2022,1,7,2022,3,1,C
6,02/07/2022,2,7,2022,3,1,C
6,03/07/2022,3,7,2022,7,1,C
6,04/07/2022,4,7,2022,6,1,C
6,05/07/2022,5,7,2022,5,1,C
6,06/07/2022,6,7,2022,4,1,C
6,07/07/2022,7,7,2022,5,1,C
6,08/07/2022,8,7,2022,9,1,C
6,09/07/2022,9,7,2022,5,1,C
6,10/07/2022,10,7,2022,3,1,C
6,11/07/2022,11,7,2022,4,1,C
6,12/07/2022,12,7,2022,4,1,C
6,13/07/2022,13,7,2022,3,1,C
6,14/07/2022,14,7,2022,4,1,C
6,15/07/2022,15,7,2022,0,0,C
3,27/04/2021,27,4,2021,5,1,F
3,28/04/2021,28,4,2021,5,1,F
3,29/04/2021,29,4,2021,9,1,F
3,30/04/2021,30,4,2021,7,1,F
3,01/05/2021,1,5,2021,9,1,F
3,02/05/2021,2,5,2021,6,1,F
3,03/05/2021,3,5,2021,9,1,F
3,04/05/2021,4,5,2021,5,1,F
3,05/05/2021,5,5,2021,4,1,F
3,06/05/2021,6,5,2021,12,1,F
3,07/05/2021,7,5,2021,5,1,F
3,08/05/2021,8,5,2021,16,1,F
3,09/05/2021,9,5,2021,17,1,F
3,10/05/2021,10,5,2021,17,1,F
3,11/05/2021,11,5,2021,13,1,F
3,12/05/2021,12,5,2021,10,1,F
3,13/05/2021,13,5,2021,12,1,F
3,14/05/2021,14,5,2021,5,1,F
3,15/05/2021,15,5,2021,11,1,F
3,16/05/2021,16,5,2021,14,1,F
3,17/05/2021,17,5,2021,12,1,F
3,18/05/2021,18,5,2021,7,1,F
3,19/05/2021,19,5,2021,8,1,F
3,20/05/2021,20,5,2021,5,1,F
3,21/05/2021,21,5,2021,3,1,F
3,22/05/2021,22,5,2021,6,1,F
3,23/05/2021,23,5,2021,4,1,F
3,24/05/2021,24,5,2021,8,1,F
3,25/05/2021,25,5,2021,3,1,F
3,26/05/2021,26,5,2021,5,1,F
3,27/05/2021,27,5,2021,4,1,F
3,28/05/2021,28,5,2021,3,1,F
3,29/05/2021,29,5,2021,6,1,F
3,30/05/2021,30,5,2021,6,1,F
3,31/05/2021,31,5,2021,6,1,F
3,01/06/2021,1,6,2021,4,1,F
3,02/06/2021,2,6,2021,5,1,F
3,03/06/2021,3,6,2021,5,1,F
3,04/06/2021,4,6,2021,5,1,F
3,05/06/2021,5,6,2021,1,1,F
3,06/06/2021,6,6,2021,1,1,F
3,07/06/2021,7,6,2021,1,1,F
3,08/06/2021,8,6,2021,6,1,F
3,09/06/2021,9,6,2021,3,1,F
3,10/06/2021,10,6,2021,4,1,F
3,11/06/2021,11,6,2021,13,1,F
3,12/06/2021,12,6,2021,11,1,F
3,13/06/2021,13,6,2021,6,1,F
